"Qty";"Value";"Device";"Package";"Parts";"Description";"ALTERNATE_PARTNUMBER";"APPLICATION_BUILDNUMBER";"BOI";"BOI-METRIC";"BUILT_BY";"CATEGORY";"COMPTYPE";"COPYRIGHT";"CREATED_BY";"DESCRIPTION";"DESIG";"DIGI#";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"DIGIKEY_PART_NUMBER";"FAB";"ISP_PART";"MANF#";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MOUNTTYPE";"MP";"MPN";"OPERATING_TEMP";"PACKAGE";"PACKAGEREFERENCE";"PARTNUMBER";"PART_STATUS";"PIN_COUNT";"POPULARITY";"REF";"REFDES";"ROHS";"ROHS_COMPLIANT";"SERIES";"SOURCELIBRARY";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TP_SIGNAL_NAME";"TYPE";"URL";"VALUE";"VENDOR";"VOLTAGE_RATING";
"8";"1uF";"C-EUC0201";"C0201";"C4, C5, C6, C12, C28, C40, C41, C57";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"2";"2.2uF";"C-EUC0402";"C0402";"C55, C56";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"1";"2.4k";"R-US_R0201";"R0201";"R38";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"1";"20k";"R-US_R0201";"R0201";"R35";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"2";"22nF";"C-EUC0402";"C0402";"C46, C54";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"4";"29";"R-US_R0201";"R0201";"R18, R19, R22, R23";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"1";"2k";"R-US_R0201";"R0201";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"4";"30";"R-US_R0201";"R0201";"R25, R26, R29, R30";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"1";"330";"R-US_R0201";"R0201";"R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"2";"4.7k";"R-US_R0201";"R0201";"R14, R15";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"2";"470nF";"C-EUC0402";"C0402";"C47, C50";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"1";"47nF";"C-EUC0402";"C0402";"C43";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
